역번호,역명,외부역번호,호선,문화공간여부,휠체어리프트여부,만남의장소여부,환승주차장여부,자전거보관소여부,엘리베이터여부,기차예매역여부,무인민원발급기여부,환전키오스크여부,수유실여부
323,약수,333,03호선,N,N,Y,N,N,Y,N,N,N,N
324,금호,334,03호선,Y,N,N,N,Y,Y,N,Y,N,N
325,옥수,335,03호선,N,N,Y,N,Y,Y,N,Y,N,Y
326,압구정,336,03호선,N,N,Y,N,Y,Y,N,Y,N,N
327,신사,337,03호선,N,N,Y,N,Y,Y,N,Y,Y,N
328,잠원,338,03호선,N,N,Y,N,Y,Y,N,N,N,N
329,고속터미널,339,03호선,N,Y,N,N,N,Y,N,N,N,Y
330,교대,340,03호선,N,Y,Y,N,Y,Y,N,N,N,N
331,남부터미널,341,03호선,N,N,Y,N,N,Y,N,N,N,N
332,양재,342,03호선,N,N,N,Y,N,Y,N,N,N,Y
333,매봉,343,03호선,N,N,N,N,N,Y,N,N,N,N
334,도곡,344,03호선,N,N,Y,N,Y,Y,N,N,N,Y
335,대치,345,03호선,N,N,N,N,Y,Y,N,N,N,N
336,학여울,346,03호선,N,N,Y,Y,Y,Y,N,N,N,N
337,대청,347,03호선,N,N,Y,Y,Y,Y,N,N,N,N
338,일원,348,03호선,N,N,Y,Y,Y,Y,N,N,N,N
339,수서,349,03호선,Y,N,Y,Y,Y,Y,N,N,N,N
340,가락시장,350,03호선,N,N,N,N,N,Y,N,N,N,N
341,경찰병원,351,03호선,N,N,N,N,N,Y,N,N,N,N
342,오금,352,03호선,N,N,N,N,N,Y,N,Y,N,N
409,당고개,409,04호선,N,N,N,Y,Y,Y,N,N,N,N
410,상계,410,04호선,N,N,N,N,Y,Y,N,N,N,N
411,노원,411,04호선,N,N,Y,N,Y,Y,N,N,N,Y
412,창동,412,04호선,N,Y,N,Y,Y,Y,N,Y,N,N
413,쌍문,413,04호선,N,N,Y,N,Y,Y,N,Y,N,N
414,수유,414,04호선,N,N,Y,N,Y,Y,N,Y,N,N
415,미아,415,04호선,N,N,Y,N,Y,Y,N,Y,N,N
416,미아사거리,416,04호선,Y,N,Y,N,Y,Y,N,Y,N,Y
417,길음,417,04호선,N,N,Y,Y,Y,Y,N,N,N,Y
418,성신여대입구,418,04호선,N,N,N,N,Y,Y,N,N,N,N
419,한성대입구,419,04호선,N,N,Y,N,N,Y,N,N,N,N
420,혜화,420,04호선,Y,N,Y,N,Y,Y,N,Y,N,N
421,동대문,421,04호선,N,Y,N,N,N,Y,N,N,N,N
422,동대문역사문화공원,422,04호선,Y,N,N,N,N,Y,N,N,N,Y
423,충무로,423,04호선,N,Y,Y,N,N,Y,N,N,N,N
424,명동,424,04호선,N,Y,Y,N,N,Y,N,N,N,N
425,회현,425,04호선,N,N,N,N,N,Y,N,N,N,N
426,서울역,426,04호선,N,Y,N,N,N,Y,N,N,N,Y
427,숙대입구,427,04호선,N,N,Y,N,N,Y,N,N,N,N
428,삼각지,428,04호선,N,N,Y,N,N,Y,N,N,N,N
429,신용산,429,04호선,N,N,Y,N,N,Y,N,N,N,N
430,이촌,430,04호선,N,Y,Y,N,N,Y,N,N,N,Y
431,동작,431,04호선,N,N,Y,Y,Y,Y,N,N,N,N
432,총신대입구,432,04호선,N,N,Y,N,N,Y,N,N,N,N
433,사당,433,04호선,N,Y,N,N,N,Y,N,N,N,Y
434,남태령,434,04호선,N,N,N,N,N,Y,N,N,N,N
2511,방화,510,05호선,N,N,N,Y,Y,Y,N,N,N,N
2512,개화산,511,05호선,N,N,Y,Y,Y,Y,N,N,N,N
2513,김포공항,512,05호선,N,N,N,N,N,Y,N,N,Y,Y
2514,송정,513,05호선,N,N,Y,N,Y,Y,N,N,N,N
2515,마곡,514,05호선,N,N,N,N,Y,Y,N,N,N,N
2516,발산,515,05호선,N,N,Y,N,Y,Y,N,N,N,N
2517,우장산,516,05호선,N,N,N,N,Y,Y,N,N,N,Y
2518,화곡,517,05호선,N,N,Y,N,Y,Y,N,Y,N,N
2519,까치산,518,05호선,N,Y,N,N,Y,Y,N,Y,N,Y
2520,신정,519,05호선,N,N,Y,N,Y,Y,N,N,N,N
2521,목동,520,05호선,N,N,Y,N,Y,Y,N,Y,N,Y
2522,오목교,521,05호선,Y,N,N,Y,Y,Y,N,Y,N,N
2523,양평,522,05호선,N,N,N,N,Y,Y,N,N,N,N
2524,영등포구청,523,05호선,N,Y,N,Y,Y,Y,N,N,N,Y
2525,영등포시장,524,05호선,N,N,N,N,Y,Y,N,N,N,N
2526,신길,525,05호선,N,N,Y,Y,Y,Y,N,N,N,Y
2527,여의도,526,05호선,N,N,Y,N,Y,Y,N,Y,N,Y
2528,여의나루,527,05호선,N,N,N,N,Y,Y,N,N,N,Y
2529,마포,528,05호선,N,N,N,N,Y,Y,N,N,N,N
2530,공덕,529,05호선,N,Y,Y,N,Y,Y,N,Y,N,Y
2531,애오개,530,05호선,N,N,N,N,Y,Y,N,N,N,N
2532,충정로,531,05호선,N,N,Y,N,Y,Y,N,N,N,Y
2533,서대문,532,05호선,N,Y,N,N,Y,Y,N,N,N,N
2534,광화문,533,05호선,Y,Y,Y,N,Y,Y,N,N,Y,Y
2535,종로3가,534,05호선,N,Y,Y,N,Y,Y,N,N,N,N
2536,을지로4가,535,05호선,N,N,N,N,N,Y,N,N,N,N
2537,동대문역사문화공원,536,05호선,Y,Y,N,N,N,Y,N,N,N,Y
2538,청구,5371,05호선,N,N,Y,N,Y,Y,N,N,N,Y
2539,신금호,538,05호선,N,N,Y,N,Y,Y,N,N,N,N
2540,행당,539,05호선,N,N,Y,N,Y,Y,N,N,N,N
2541,왕십리,540,05호선,Y,N,Y,N,Y,Y,N,N,N,Y
2542,마장,541,05호선,N,N,Y,N,Y,Y,N,N,N,N
2543,답십리,542,05호선,N,Y,Y,N,Y,Y,N,N,N,Y
2544,장한평,543,05호선,N,Y,Y,N,Y,Y,N,N,N,N
2545,군자,544,05호선,N,N,Y,N,Y,Y,N,Y,N,Y
2546,아차산,545,05호선,N,N,Y,N,Y,Y,N,Y,N,Y
2547,광나루,546,05호선,N,Y,Y,N,Y,Y,N,N,N,N
2548,천호,547,05호선,N,Y,Y,Y,Y,Y,N,Y,N,Y
2549,강동,548,05호선,N,Y,Y,Y,Y,Y,N,N,N,Y
2550,길동,549,05호선,N,N,Y,N,Y,Y,N,Y,N,N
2551,굽은다리,550,05호선,N,N,Y,N,Y,Y,N,Y,N,N
2552,명일,551,05호선,N,N,Y,N,Y,Y,N,N,N,N
2553,고덕,552,05호선,Y,N,Y,N,Y,Y,N,Y,N,Y
2554,상일동,553,05호선,N,Y,Y,N,Y,Y,N,Y,N,N
2555,둔촌동,P549,05호선,N,N,Y,N,Y,Y,N,Y,N,N
2556,올림픽공원,P550,05호선,N,N,Y,N,Y,Y,N,N,N,Y
2557,방이,P551,05호선,N,N,Y,N,Y,Y,N,N,N,N
2558,오금,P552,05호선,N,N,N,N,N,Y,N,Y,N,N
2559,개롱,P553,05호선,N,N,N,N,Y,Y,N,N,N,N
2560,거여,P554,05호선,N,N,Y,N,Y,Y,N,Y,N,Y
2561,마천,P555,05호선,N,Y,Y,N,Y,Y,N,N,N,N
2563,미사,555,05호선,N,N,Y,N,N,Y,N,Y,N,Y
2564,하남풍산,556,05호선,N,N,Y,N,N,Y,N,Y,N,Y
2611,응암,610,06호선,N,N,Y,N,Y,Y,N,Y,N,Y
2612,역촌,611,06호선,N,N,Y,N,Y,Y,N,N,N,N
2613,불광,612,06호선,N,Y,N,N,Y,Y,N,N,N,Y
2614,독바위,613,06호선,N,N,N,N,Y,Y,N,N,N,N
2615,연신내,614,06호선,N,Y,N,N,N,Y,N,N,N,N
2616,구산,615,06호선,N,Y,N,N,Y,Y,N,N,N,N
2617,새절,616,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2618,증산,617,06호선,N,N,Y,N,Y,Y,N,N,N,N
2619,디지털미디어시티,618,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2620,월드컵경기장,619,06호선,Y,N,Y,N,Y,Y,N,N,N,Y
2621,마포구청,620,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2622,망원,621,06호선,N,N,Y,N,Y,Y,N,N,N,N
2623,합정,622,06호선,N,Y,N,N,Y,Y,N,Y,N,Y
2624,상수,623,06호선,N,Y,N,N,Y,Y,N,N,N,N
2625,광흥창,624,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2626,대흥,625,06호선,Y,Y,Y,N,Y,Y,N,N,N,Y
2627,공덕,626,06호선,N,Y,Y,N,N,Y,N,Y,N,Y
2628,효창공원앞,627,06호선,N,Y,N,N,Y,Y,N,N,N,N
2629,삼각지,628,06호선,N,Y,N,N,Y,Y,N,N,N,Y
2630,녹사평,629,06호선,Y,N,Y,N,Y,Y,N,N,N,N
2631,이태원,630,06호선,N,N,N,N,Y,Y,N,N,Y,Y
2632,한강진,631,06호선,N,N,Y,Y,Y,Y,N,N,N,N
2633,버티고개,632,06호선,N,N,Y,N,Y,Y,N,N,N,N
2634,약수,633,06호선,N,N,Y,N,Y,Y,N,N,N,Y
2635,청구,634,06호선,N,N,N,N,N,Y,N,N,N,Y
2636,신당,635,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2637,동묘앞,636,06호선,N,Y,Y,N,Y,Y,N,N,N,Y
2638,창신,637,06호선,N,N,Y,N,Y,Y,N,N,N,N
2639,보문,638,06호선,N,N,Y,N,N,Y,N,N,N,N
2640,안암,639,06호선,N,N,Y,N,Y,Y,N,N,N,Y
2641,고려대,640,06호선,Y,N,Y,N,Y,Y,N,Y,N,N
2642,월곡,641,06호선,N,Y,Y,N,Y,Y,N,N,N,N
2643,상월곡,642,06호선,Y,Y,Y,N,Y,Y,N,N,N,Y
2644,돌곶이,643,06호선,N,N,Y,N,Y,Y,N,N,N,N
2645,석계,644,06호선,N,Y,Y,Y,N,Y,N,N,N,N
2646,태릉입구,645,06호선,N,Y,Y,N,Y,Y,N,N,N,Y
2647,화랑대,646,06호선,N,N,N,Y,Y,Y,N,N,N,N
2648,봉화산,647,06호선,N,Y,Y,Y,Y,Y,N,N,N,N
2649,신내,648,06호선,N,N,N,N,N,Y,N,N,N,N
2711,장암,709,07호선,N,N,Y,Y,Y,Y,N,N,N,N
2712,도봉산,710,07호선,N,N,Y,Y,Y,Y,N,N,N,N
2713,수락산,711,07호선,N,Y,Y,Y,Y,Y,N,N,N,Y
2714,마들,712,07호선,N,Y,N,N,Y,Y,N,N,N,N
2715,노원,713,07호선,Y,N,Y,N,Y,Y,N,N,N,Y
2716,중계,714,07호선,N,N,Y,N,Y,Y,N,N,N,N
2717,하계,7151,07호선,N,N,Y,N,N,Y,N,N,N,Y
2718,공릉,716,07호선,N,N,N,N,N,Y,N,N,N,N
2719,태릉입구,717,07호선,N,N,Y,N,Y,Y,N,N,N,Y
2720,먹골,718,07호선,N,N,Y,N,Y,Y,N,N,N,N
2721,중화,719,07호선,N,N,Y,N,Y,Y,N,N,N,N
2722,상봉,720,07호선,N,N,Y,N,Y,Y,N,N,N,N
2723,면목,721,07호선,N,N,Y,N,Y,Y,N,N,N,N
2724,사가정,722,07호선,N,N,Y,N,Y,Y,N,N,N,N
2725,용마산,723,07호선,N,N,N,N,Y,Y,N,N,N,N
2726,중곡,724,07호선,N,N,Y,N,Y,Y,N,Y,N,N
2727,군자,725,07호선,N,Y,Y,N,Y,Y,N,Y,N,Y
2728,어린이대공원,726,07호선,Y,N,Y,N,Y,Y,N,N,N,Y
2729,건대입구,727,07호선,N,Y,N,N,Y,Y,N,N,N,N
2730,뚝섬유원지,728,07호선,Y,N,Y,Y,Y,Y,N,N,N,Y
2731,청담,729,07호선,N,Y,Y,N,Y,Y,N,N,N,N
2732,강남구청,730,07호선,N,Y,Y,N,Y,Y,N,N,N,N
2733,학동,731,07호선,N,N,Y,N,Y,Y,N,N,N,N
2734,논현,732,07호선,N,Y,Y,N,Y,Y,N,N,N,Y
2735,반포,733,07호선,N,Y,Y,N,Y,Y,N,N,N,N
2736,고속터미널,734,07호선,N,Y,Y,N,Y,Y,N,N,N,Y
2737,내방,735,07호선,N,N,Y,N,Y,Y,N,N,N,N
2738,이수,736,07호선,Y,Y,Y,N,Y,Y,N,N,N,Y
2739,남성,737,07호선,N,N,Y,N,Y,Y,N,N,N,N
2740,숭실대입구,738,07호선,N,N,N,N,Y,Y,N,Y,N,N
2741,상도,739,07호선,N,N,Y,N,Y,Y,N,N,N,N
2742,장승배기,740,07호선,N,N,Y,N,Y,Y,N,N,N,N
2743,신대방삼거리,741,07호선,N,N,Y,N,Y,Y,N,N,N,N
2744,보라매,742,07호선,N,N,Y,N,Y,Y,N,N,N,N
2745,신풍,743,07호선,N,N,N,N,Y,Y,N,N,N,N
2746,대림,744,07호선,N,Y,N,Y,Y,Y,N,N,N,Y
2747,남구로,745,07호선,N,Y,Y,N,Y,N,N,N,N,N
2748,가산디지털단지,746,07호선,N,Y,Y,N,Y,Y,N,N,N,Y
2749,철산,747,07호선,N,N,Y,N,Y,Y,N,Y,N,N
2750,광명사거리,748,07호선,N,Y,Y,N,Y,Y,N,Y,N,Y
2751,천왕,749,07호선,N,N,Y,Y,Y,Y,N,Y,N,N
2752,온수,750,07호선,N,Y,Y,Y,Y,Y,N,Y,N,Y
2753,까치울,751,07호선,N,N,N,N,Y,Y,N,N,N,Y
2754,부천종합운동장,752,07호선,N,N,N,N,Y,Y,N,Y,N,Y
2755,춘의,753,07호선,N,N,N,N,Y,Y,N,Y,N,Y
2756,신중동,754,07호선,N,N,N,N,Y,Y,N,Y,N,Y
2757,부천시청,755,07호선,Y,N,N,N,Y,Y,N,N,N,Y
2758,상동,756,07호선,Y,N,N,N,Y,Y,N,Y,N,Y
2759,삼산체육관,757,07호선,N,N,N,N,Y,Y,N,N,N,Y
2760,굴포천,758,07호선,Y,N,Y,N,Y,Y,N,N,N,Y
2761,부평구청,759,07호선,Y,N,Y,N,Y,Y,N,N,N,Y
2811,암사,810,08호선,N,N,Y,N,Y,Y,N,Y,N,N
2812,천호,811,08호선,N,Y,Y,Y,Y,Y,N,Y,N,Y
2813,강동구청,812,08호선,N,N,Y,N,Y,Y,N,N,N,N
2814,몽촌토성,813,08호선,N,N,Y,N,Y,Y,N,N,N,Y
2815,잠실,814,08호선,N,Y,N,Y,Y,Y,N,N,N,Y
2816,석촌,815,08호선,N,N,Y,N,Y,Y,N,N,N,N
2817,송파,816,08호선,N,N,N,N,Y,Y,N,N,N,N
2818,가락시장,817,08호선,N,N,N,N,Y,Y,N,N,N,Y
2819,문정,818,08호선,N,N,N,N,Y,Y,N,N,N,N
2820,장지,819,08호선,N,N,Y,N,Y,Y,N,Y,N,Y
2821,복정,820,08호선,N,Y,Y,Y,Y,Y,N,N,N,N
2822,산성,821,08호선,N,N,Y,Y,Y,Y,N,N,N,N
2823,남한산성입구,822,08호선,N,N,Y,N,Y,Y,N,N,N,Y
2824,단대오거리,823,08호선,N,N,N,N,Y,Y,N,N,N,N
2825,신흥,824,08호선,N,N,N,N,Y,Y,N,N,N,N
2826,수진,825,08호선,N,N,N,N,Y,Y,N,N,N,N
2827,모란,826,08호선,N,Y,N,N,Y,Y,N,N,N,Y
4126,언주,926,09호선,N,N,N,N,N,Y,N,N,N,Y
4127,선정릉,927,09호선,N,N,N,N,N,Y,N,N,N,N
4128,삼성중앙,928,09호선,N,N,N,N,N,Y,N,N,N,Y
4129,봉은사,929,09호선,N,N,N,N,N,Y,N,N,N,Y
4130,종합운동장,930,09호선,N,N,N,N,N,Y,N,N,N,Y
4131,삼전,931,09호선,N,N,N,N,N,Y,N,N,N,Y
4132,석촌고분,932,09호선,N,N,N,N,N,Y,N,N,N,Y
4133,석촌,933,09호선,N,N,N,N,N,Y,N,N,N,Y
4134,송파나루,934,09호선,N,N,N,N,N,Y,N,Y,N,Y
4135,한성백제,935,09호선,N,N,N,N,N,Y,N,N,N,Y
4136,올림픽공원,936,09호선,N,N,N,N,N,Y,N,N,N,Y
4137,둔촌오륜,937,09호선,N,N,N,N,N,Y,N,N,N,Y
4138,중앙보훈병원,938,09호선,N,N,N,N,N,Y,N,N,N,Y
