구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,0,0,0,0,1,0,1,서울교통공사,02-6110-1271,05:00~01:00,37.573281,127.016649,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,0,0,1,0,3,0,0,서울교통공사,02-6110-1271,05:00~01:00,37.573281,127.016649,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,신설동역(1),서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 신설동 ,N,6,4,2,0,2,1,11,2,2,서울교통공사,02-6110-1261,05:00~01:00,37.578163,127.034687,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2014,2020-09-28
공중화장실,제기동역(1),서울특별시 동대문구 제기동 65 제기동역,서울특별시 동대문구 제기동 ,N,5,6,0,0,0,0,11,0,0,서울교통공사,02-6110-1251,05:00~01:00,37.579984,127.045547,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,청량리역(1),서울특별시 동대문구 전농동 620-69 청량리역,서울특별시 동대문구 전농동 ,N,2,3,2,0,0,1,2,2,0,서울교통공사,02-6110-1241,05:00~01:00,37.561279,126.969321,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,시청역(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,5,4,1,0,0,0,10,1,0,서울교통공사,02-6110-2011,05:00~01:00,37.561279,126.969321,서울교통공사,역사 내 화장실,수세식,유,유,,2008이전,2020-09-28
공중화장실,시청역(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,4,5,2,0,0,0,9,2,0,서울교통공사,02-6110-2011,05:00~01:00,37.566066,126.982022,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2013,2020-09-28
공중화장실,을지로입구역(2),서울특별시 중구 을지로1가 100-1 을지로입구역,서울특별시 중구 을지로1가 ,N,5,6,2,0,1,1,11,2,1,서울교통공사,02-6110-2021,05:00~01:00,37.566171,126.990203,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,을지로3가역(2),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로3가 ,N,5,8,2,0,2,1,13,2,2,서울교통공사,02-6110-2031,05:00~01:00,37.566489,126.996528,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,을지로4가역(2),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로4가 ,N,6,4,2,0,0,0,11,2,0,서울교통공사,02-6110-2041,05:00~01:00,37.565718,127.008485,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2012,2020-09-28
공중화장실,동대문역사문화공원역(2),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 7가,N,6,8,2,0,0,1,20,2,1,서울교통공사,02-6110-2051,05:00~01:00,37.565281,127.01664,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,신당역(2),서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 신당동 99,N,5,6,2,0,1,1,13,2,2,서울교통공사,02-6110-2061,05:00~01:00,37.563933,127.029793,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,상왕십리역(2),서울특별시 성동구 하왕십리동 946-14 상왕십리역,서울특별시 성동구 하왕십리동,N,5,6,2,0,0,0,11,2,0,서울교통공사,02-6110-2071,05:00~01:00,37.562259,127.037228,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,왕십리역(2),서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 행당동 1,N,5,5,2,0,2,1,10,2,2,서울교통공사,02-6110-2081,05:00~01:00,37.555259,127.043658,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2009,2020-09-28
공중화장실,한양대역(2),서울특별시 성동구 행당동 산17 17 한양대역,서울특별시 성동구 행당동 산,N,5,9,2,0,2,1,15,2,2,서울교통공사,02-6110-2091,05:00~01:00,37.547177,127.04738,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,뚝섬역(2),서울특별시 성동구 성수동1가 656-745 뚝섬역,서울특별시 성동구 성수동1가,N,6,5,2,0,0,1,12,2,0,서울교통공사,02-6110-2101,05:00~01:00,37.544601,127.056885,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2012,2020-09-28
공중화장실,성수역(2),서울특별시 성동구 성수동2가 300-1 성수역,서울특별시 성동구 성수동2가,N,5,4,1,0,0,0,12,1,0,서울교통공사,02-6110-2111,05:00~01:00,37.558689,127.053172,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,건대입구역(2),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 화양동 7,N,7,9,1,0,0,0,20,1,0,서울교통공사,02-6110-2121,05:00~01:00,37.576087,127.02456,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,구의역(2),서울특별시 광진구 구의동 245-24 2호선 구의역,서울특별시 광진구 구의동 2,N,3,4,2,0,0,1,6,2,0,서울교통공사,02-6110-2131,05:00~01:00,37.573858,127.03799,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,강변역(2),서울특별시 광진구 구의동 546-6 2호선 강변역,서울특별시 광진구 구의동 5,N,6,6,2,0,0,1,14,2,0,서울교통공사,02-6110-2141,05:00~01:00,37.573858,127.03799,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,잠실나루역(2),서울특별시 송파구 신천동 15 잠실나루역,서울특별시 송파구 신천동 1,N,5,4,0,0,0,0,9,0,0,서울교통공사,02-6110-2151,05:00~01:00,37.573858,127.03799,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,잠실역(2),서울특별시 송파구 잠실동 8 잠실역(2호선),서울특별시 송파구 잠실동 8,N,7,8,0,0,0,0,17,0,0,서울교통공사,02-6110-2161,05:00~01:00,37.573858,127.03799,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,잠실새내역(2),서울특별시 송파구 잠실동 33 잠실새내역,서울특별시 송파구 잠실동 3,N,5,5,2,0,1,1,11,2,1,서울교통공사,02-6110-2171,05:00~01:00,37.540749,127.069001,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,종합운동장역(2),서울특별시 송파구 잠실동 122 종합운동장역,서울특별시 송파구 잠실동 1,N,5,5,2,0,0,1,10,2,1,서울교통공사,02-6110-2181,05:00~01:00,37.538283,127.090755,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,종합운동장역(2),서울특별시 송파구 잠실동 122 종합운동장역,서울특별시 송파구 잠실동 1,N,4,7,2,0,1,1,5,2,1,서울교통공사,02-6110-2181,05:00~01:00,37.535421,127.094533,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,삼성역(2),서울특별시 강남구 삼성동 172-66 삼성역,서울특별시 강남구 삼성동 1,N,5,9,2,0,2,1,14,2,2,서울교통공사,02-6110-2191,05:00~01:00,37.518622,127.1049,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,선릉역(2),서울특별시 강남구 삼성동 172-66 선릉역,서울특별시 강남구 삼성동 1,N,6,4,2,0,2,1,11,2,2,서울교통공사,02-6110-2201,05:00~01:00,37.517661,127.074659,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2013,2020-09-28
공중화장실,역삼역(2),서울특별시 강남구 역삼동 804 역삼역,서울특별시 강남구 역삼동 8,N,5,5,2,0,2,1,9,2,2,서울교통공사,02-6110-2211,05:00~01:00,37.511568,127.090608,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,강남역(2),서울특별시 강남구 역삼동 858 강남역,서울특별시 강남구 역삼동 8,N,5,4,1,0,0,0,9,1,0,서울교통공사,02-6110-2221,05:00~01:00,37.511568,127.090608,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,교대역(2),서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초동 1,N,5,5,2,0,2,1,10,2,2,서울교통공사,02-6110-2231,05:00~01:00,37.511568,127.090608,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2017,2020-09-28
공중화장실,서초역(2),서울특별시 서초구 서초동 1748-5 서초역,서울특별시 서초구 서초동 1,N,4,5,2,0,0,1,9,2,0,서울교통공사,02-6110-2241,05:00~01:00,37.508826,127.063067,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,방배역(2),서울특별시 서초구 방배동 912-14 방배역,서울특별시 서초구 방배동 9,N,5,4,2,0,2,1,9,2,2,서울교통공사,02-6110-2251,05:00~01:00,37.508826,127.063067,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,사당역(2),서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 사당동 1,N,3,4,2,0,0,0,7,2,0,서울교통공사,02-6110-2261,05:00~01:00,37.498128,127.028303,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,사당역(2),서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 사당동 1,N,6,7,2,0,0,1,14,2,0,서울교통공사,02-6110-2261,05:00~01:00,37.498128,127.028303,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2013,2020-09-28
공중화장실,낙성대역(2),서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,서울특별시 관악구 봉천동 1,N,6,5,1,0,0,0,11,1,0,서울교통공사,02-6110-2271,05:00~01:00,37.494847,127.017286,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,서울대입구역(2),서울특별시 관악구 봉천동 979-2 서울대입구역사,서울특별시 관악구 봉천동 9,N,4,4,2,0,1,1,8,2,2,서울교통공사,02-6110-2281,05:00~01:00,37.492765,127.010541,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2018,2020-09-28
공중화장실,봉천역(2),서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,서울툭별시 관악구 봉천동 9,N,3,4,2,0,0,1,6,2,0,서울교통공사,02-6110-2291,05:00~01:00,37.481297,126.99732,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,신림역(2),서울특별시 관악구 신림동 1467-10 2호선 신림역사,서울특별시 관악구 신림동 1,N,6,7,1,0,0,0,13,1,0,서울교통공사,02-6110-2301,05:00~01:00,37.476484,126.981396,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,신대방역(2),서울특별시 동작구 신대방동 643-1 신대방역 2호선,서울특별시 동작구 신대방동 ,N,5,4,2,0,2,1,13,2,2,서울교통공사,02-6110-2311,05:00~01:00,37.476484,126.981396,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2011,2020-09-28
공중화장실,구로디지털단지역(2),서울특별시 구로구 구로동 810-3 구로디지털단지역,서울특별시 구로구 구로동 8,N,4,6,2,0,1,1,10,2,2,서울교통공사,02-6110-2321,05:00~01:00,37.477028,126.963396,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2019,2020-09-28
공중화장실,대림역(2),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 구로동 1,N,7,8,1,1,0,1,15,1,0,서울교통공사,02-6110-2331,05:00~01:00,37.481113,126.952634,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2019,2020-09-28
공중화장실,신도림역(2),서울특별시 구로구 신도림동 460-26 2호선 신도림역,서울특별시 구로구 신도림동 ,N,5,8,2,0,1,1,14,2,2,서울교통공사,02-6110-2341,05:00~01:00,37.482518,126.941481,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2011,2020-09-28
공중화장실,신도림역(2),서울특별시 구로구 신도림동 460-26 2호선 신도림역,서울특별시 구로구 신도림동 ,N,8,5,2,1,2,1,13,2,2,서울교통공사,02-6110-2341,05:00~01:00,37.484178,126.929789,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2011,2020-09-28
공중화장실,문래역(2),서울특별시 영등포구 문래동3가 68-1문래역,서울특별시 영등포구 문래동3,N,5,7,2,0,1,1,14,2,1,서울교통공사,02-6110-2351,05:00~01:00,37.48751,126.912991,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2011,2020-09-28
공중화장실,영등포구청역(2),서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산동3,N,6,6,2,0,0,1,14,2,0,서울교통공사,02-6110-2361,05:00~01:00,37.485127,126.901529,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,당산역(2),서울특별시 영등포구 당산동 6가 323-1 당산역,서울특별시 영등포구 당산동 ,N,5,4,2,0,1,2,10,2,1,서울교통공사,02-6110-2371,05:00~01:00,37.508687,126.890903,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,합정역(2),서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 서교동 3,N,4,6,2,0,2,2,16,2,2,서울교통공사,02-6110-2381,05:00~01:00,37.508687,126.890903,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,홍대입구역(2),서울특별시 마포구 동교동 165 홍대입구역,서울특별시 마포구 동교동 1,N,7,8,2,0,0,0,21,2,0,서울교통공사,02-6110-2391,05:00~01:00,37.514401,126.882685,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2011,2020-09-28
공중화장실,신촌역(2),서울특별시 마포구 노고산동 31-11 신촌역,서울특별시 마포구 노고산동 ,N,5,7,2,0,1,1,12,2,1,서울교통공사,02-6110-2401,05:00~01:00,37.512518,126.865711,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,이대역(2),서울특별시 마포구 염리동 8-85 이대역,서울특별시 마포구 염리동 8,N,6,7,2,0,2,1,13,2,2,서울교통공사,02-6110-2411,05:00~01:00,37.518294,126.853619,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2017,2020-09-28
공중화장실,아현역(2),서울특별시 마포구 아현동 354-23 아현역,서울특별시 마포구 아현동 3,N,3,3,2,0,1,1,6,2,2,서울교통공사,02-6110-2421,05:00~01:00,37.517887,126.894751,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
공중화장실,충정로역(2),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 충정로3,N,4,4,2,0,1,1,8,2,1,서울교통공사,02-6110-2431,05:00~01:00,37.525656,126.896614,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2018,2020-09-28
공중화장실,신설동역(2),서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 신설동 ,N,2,3,2,0,0,1,3,2,1,서울교통공사,02-6110-1371,05:00~01:00,37.534931,126.90273,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,용두역(2),서울특별시 동대문구 용두동 47-1 용두역,서울특별시 동대문구 용두동 ,N,2,3,2,0,0,1,4,2,1,서울교통공사,02-6110-1361,05:00~01:00,37.550008,126.914504,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,용두역(2),서울특별시 동대문구 용두동 47-1 용두역,서울특별시 동대문구 용두동 ,N,3,3,1,0,0,1,6,1,0,서울교통공사,02-6110-1361,05:00~01:00,37.556729,126.923642,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,용두역(2),서울특별시 동대문구 용두동 47-1 용두역,서울특별시 동대문구 용두동 ,N,1,2,2,0,0,1,3,2,1,서울교통공사,02-6110-1361,05:00~01:00,37.554667,126.9375,서울교통공사,역사 내 화장실,수세식,유,유,,2008이전,2020-09-28
공중화장실,용두역(2),서울특별시 동대문구 용두동 47-1 용두역,서울특별시 동대문구 용두동 ,N,1,2,1,0,0,0,3,1,0,서울교통공사,02-6110-1361,05:00~01:00,37.556813,126.947712,서울교통공사,역사 내 화장실,수세식,유,유,,2008이전,2020-09-28
공중화장실,신답역(2),서울특별시 성동구 용답동 129-2 신답역,서울특별시 성동구 용답동 1,N,2,3,2,0,2,1,3,2,2,서울교통공사,02-6110-1351,05:00~01:00,37.55589,126.955661,서울교통공사,역사 내 화장실,수세식,유,유,,2008이전,2020-09-28
공중화장실,용답역(2),서울특별시 성동구 용답동 127 용답역,서울특별시 성동구 용답동 1,N,2,3,2,0,0,0,4,2,0,서울교통공사,02-6110-1341,05:00~01:00,37.559493,126.963818,서울교통공사,역사 내 화장실,수세식,유,유,,2008이전,2020-09-28
공중화장실,도림천역(2),서울특별시 구로구 신도림동 323-16 도림천역,서울특별시 구로구 신도림동 ,N,3,5,2,0,1,1,3,2,2,서울교통공사,02-6110-2441,05:00~01:00,37.637537,126.918588,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,양천구청역(2),서울특별시 양천구 신정동 276-7 양천구청역,서울특별시 양천구 신정동 2,N,5,4,0,0,0,0,10,0,0,서울교통공사,02-6110-2451,05:00~01:00,37.618888,126.920832,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2014,2020-09-28
공중화장실,신정네거리역(2),서울특별시 양천구 신정동 1231 신정네거리역,서울특별시 양천구 신정동 1,N,4,5,1,0,0,0,9,1,0,서울교통공사,02-6110-2461,05:00~01:00,37.610483,126.929288,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,구파발역(3),서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,서울특별시 은평구 진관동 6,N,4,3,1,0,0,0,7,1,0,서울교통공사,02-6110-3201,05:00~01:00,37.600702,126.936005,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,연신내역(3),서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 갈현동 3,N,3,4,2,0,0,1,7,2,1,서울교통공사,02-6110-3211,05:00~01:00,37.588672,126.944227,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2018,2020-09-28
공중화장실,불광역(3),서울특별시 은평구 대조동 14-1 불광역(3호선),서울특별시 은평구 대조동 1,N,3,5,1,0,0,0,9,1,0,서울교통공사,02-6110-3221,05:00~01:00,37.582361,126.950438,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2015,2020-09-28
공중화장실,녹번역(3),서울특별시 은평구 녹번동 55 지하철3호선 녹번역,서울특별시 은평구 녹번동 5,N,5,5,2,0,1,1,10,2,2,서울교통공사,02-6110-3231,05:00~01:00,37.574301,126.955918,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2017,2020-09-28
공중화장실,홍제역(3),서울특별시 서대문구 홍제동 161-1 홍제역,서울특별시 서대문구 홍제동 ,N,4,5,1,0,0,0,10,1,0,서울교통공사,02-6110-3241,05:00~01:00,37.57582,126.973058,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,무악재역(3),서울특별시 서대문구 홍제동 26-1 무악재역,서울특별시 서대문구 홍제동 ,N,3,4,2,0,1,1,3,2,2,서울교통공사,02-6110-3251,05:00~01:00,37.576696,126.985804,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,독립문역(3),서울특별시 서대문구 현저동 101 독립문역,서울특별시 서대문구 현저동 ,N,3,4,2,1,1,1,7,2,2,서울교통공사,02-6110-3261,05:00~01:00,37.571196,126.991959,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2012,2020-09-28
공중화장실,경복궁역(3),서울특별시 종로구 적선동 81-1 3호선 경복궁역,서울특별시 종로구 적선동 8,N,5,5,0,0,0,0,11,0,0,서울교통공사,02-6110-3271,05:00~01:00,37.571196,126.991959,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2016,2020-09-28
공중화장실,안국역(3),서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 안국동 1,N,4,4,1,0,0,0,8,1,0,서울교통공사,02-6110-3281,05:00~01:00,37.566412,126.994185,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2012,2020-09-28
공중화장실,종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,N,5,5,2,0,1,1,15,2,2,서울교통공사,02-6110-3291,05:00~01:00,37.559227,127.005275,서울교통공사,역사 내 화장실,수세식,유,유,,2010,2020-09-28
공중화장실,종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,N,2,1,2,1,1,0,2,2,0,서울교통공사,02-6110-3291,05:00~01:00,37.55438,127.011016,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,을지로3가역(3),서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로3가 ,N,2,4,2,0,0,0,6,2,0,서울교통공사,02-6110-3301,05:00~01:00,37.548038,127.015883,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2019,2020-09-28
공중화장실,동대입구역(3),서울특별시 중구 장충동2가 199-3 동대입구역 3호선,서울특별시 중구 장충동2가 ,N,4,4,1,0,0,1,8,1,0,서울교통공사,02-6110-3321,05:00~01:00,37.546675,127.016245,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,약수역(3),서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 신당동 36,N,6,5,1,0,0,0,9,1,0,서울교통공사,02-6110-3331,05:00~01:00,37.569744,127.046945,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2012,2020-09-28
공중화장실,금호역(3),서울특별시 성동구 금호동4가 1470 금호역,서울특별시 성동구 금호동4가,N,6,7,0,0,0,0,5,0,0,서울교통공사,02-6110-3341,05:00~01:00,37.546675,127.016245,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2009,2020-09-28
